loss->,,,,,,,train_acc,,,,,,,test_acc,,,,,,,,,,,,
epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC
69,0.160414442,,0.179734245,,0.517957211,,,99.96666718,,99.94999695,,99.33333588,,,99.90000153,,99.69999695,,90.80000305,,,,,,,
70,0.15337494,,0.17443943,,0.505742431,,,99.94999695,,99.90000153,,99.3833313,,,99.90000153,,99.69999695,,90.59999847,,,,,,,
71,0.146657109,,0.169570982,,0.491292119,,,99.96666718,,99.93333435,,99.44999695,,,99.90000153,,99.69999695,,90.69999695,,,,,,,
72,0.140480205,,0.164637089,,0.477316797,,,99.94999695,,99.91666412,,99.48332977,,,99.90000153,,99.69999695,,90.19999695,,,,,,,
73,0.134480834,,0.160362959,,0.466647863,,,99.96666718,,99.93333435,,99.5,,,99.90000153,,99.69999695,,90.5,,,,,,,
74,0.12892133,,0.155875802,,0.451757669,,,99.96666718,,99.94999695,,99.34999847,,,99.90000153,,99.69999695,,91,,,,,,,
75,0.123498611,,0.151724964,,0.443272054,,,99.96666718,,99.94999695,,99.51667023,,,99.90000153,,99.69999695,,90.19999695,,,,,,,
76,0.118695885,,0.147689685,,0.42896226,,,99.96666718,,99.94999695,,99.6166687,,,99.90000153,,99.69999695,,90.90000153,,,,,,,
77,0.113985077,,0.143871978,,0.418478161,,,99.96666718,,99.94999695,,99.58333588,,,99.90000153,,99.69999695,,90.90000153,,,,,,,
78,0.109708428,,0.140277341,,0.40631327,,,99.96666718,,99.96666718,,99.43333435,,,99.90000153,,99.69999695,,90.5,,,,,,,
79,0.105497994,,0.136710957,,0.3956801,,,99.96666718,,99.94999695,,99.59999847,,,99.90000153,,99.69999695,,90.69999695,,,,,,,
80,0.101553708,,0.133386344,,0.38616696,,,99.96666718,,99.96666718,,99.51667023,,,99.90000153,,99.69999695,,91,,,,,,,
81,0.097974621,,0.130192339,,0.378373325,,,99.96666718,,99.96666718,,99.73332977,,,99.90000153,,99.69999695,,90.5,,,,,,,
82,0.094426274,,0.126996145,,0.365471154,,,99.98332977,,99.94999695,,99.71666718,,,99.90000153,,99.69999695,,90.59999847,,,,,,,
83,0.091177538,,0.124007016,,0.355016351,,,99.98332977,,99.96666718,,99.68333435,,,99.90000153,,99.69999695,,90.40000153,,,,,,,
84,0.088092037,,0.121228509,,0.35001862,,,99.98332977,,99.96666718,,99.78333282,,,99.90000153,,99.69999695,,90.69999695,,,,,,,
85,0.085123621,,0.118435942,,0.338878781,,,99.98332977,,99.96666718,,99.81666565,,,99.90000153,,99.69999695,,90.5,,,,,,,
86,0.082283877,,0.115872234,,0.329894632,,,99.98332977,,99.96666718,,99.75,,,99.90000153,,99.69999695,,90.90000153,,,,,,,
87,0.079405852,,0.113189042,,0.32264477,,,99.98332977,,99.94999695,,99.83333588,,,99.90000153,,99.69999695,,90.59999847,,,,,,,
88,0.076932214,,0.11091727,,0.312676311,,,99.98332977,,99.96666718,,99.8666687,,,99.90000153,,99.69999695,,90.80000305,,,,,,,
89,0.074457027,,0.108321548,,0.305845588,,,99.98332977,,99.96666718,,99.73332977,,,99.90000153,,99.69999695,,91.30000305,,,,,,,
90,0.072406799,,0.10627763,,0.297513068,,,99.98332977,,99.96666718,,99.91666412,,,99.90000153,,99.69999695,,90.59999847,,,,,,,
91,0.070059821,,0.103992604,,0.288228691,,,99.98332977,,99.96666718,,99.91666412,,,99.90000153,,99.69999695,,90.90000153,,,,,,,
92,0.068070531,,0.10195981,,0.28256309,,,99.98332977,,99.96666718,,99.83333588,,,99.90000153,,99.69999695,,91,,,,,,,
93,0.066008016,,0.100083746,,0.274123102,,,99.98332977,,99.96666718,,99.8666687,,,99.90000153,,99.69999695,,89.80000305,,,,,,,
94,0.064163879,,0.098061912,,0.268730134,,,99.98332977,,99.96666718,,99.80000305,,,99.90000153,,99.69999695,,91.19999695,,,,,,,
95,0.06229965,,0.096196301,,0.260197669,,,99.98332977,,99.96666718,,99.84999847,,,99.90000153,,99.69999695,,91.30000305,,,,,,,
96,0.060569011,,0.094332747,,0.254457325,,,99.98332977,,99.96666718,,99.93333435,,,99.90000153,,99.69999695,,90.5,,,,,,,
97,0.058992054,,0.092588864,,0.247640491,,,99.98332977,,99.96666718,,99.90000153,,,99.90000153,,99.69999695,,90.69999695,,,,,,,
98,0.057332084,,0.09089312,,0.239690691,,,99.98332977,,99.96666718,,99.93333435,,,99.90000153,,99.69999695,,90.80000305,,,,,,,
99,0.055780593,,0.089217141,,0.235383168,,,99.98332977,,99.96666718,,99.93333435,,,99.90000153,,99.69999695,,91,,,,,,,
100,0.054391876,,0.087486163,,0.228966564,,,99.98332977,,99.96666718,,99.8833313,,,99.90000153,,99.69999695,,91.09999847,,,,,,,
101,0.052953027,,0.086017199,,0.224025354,,,99.98332977,,99.96666718,,99.93333435,,,99.90000153,,99.69999695,,90.90000153,,,,,,,
102,0.051583279,,0.08446984,,0.217715457,,,99.98332977,,99.96666718,,99.96666718,,,99.90000153,,99.80000305,,90.80000305,,,,,,,
103,0.050335266,,0.082996748,,0.212115347,,,99.98332977,,99.96666718,,99.98332977,,,99.90000153,,99.69999695,,90.19999695,,,,,,,
104,0.049108174,,0.081644587,,0.205505997,,,99.98332977,,99.96666718,,99.98332977,,,99.90000153,,99.69999695,,90.80000305,,,,,,,
105,0.047911625,,0.080295555,,0.200611591,,,99.98332977,,99.96666718,,99.96666718,,,99.90000153,,99.69999695,,90.90000153,,,,,,,
106,0.046865996,,0.078968741,,0.196099535,,,99.98332977,,99.96666718,,99.98332977,,,99.90000153,,99.69999695,,91.40000153,,,,,,,
107,0.045712765,,0.077746511,,0.190636665,,,99.98332977,,99.96666718,,99.94999695,,,99.90000153,,99.69999695,,91.30000305,,,,,,,
108,0.044708967,,0.076429129,,0.185772628,,,99.98332977,,99.96666718,,100,,,99.90000153,,99.80000305,,90.59999847,,,,,,,
109,0.043680888,,0.075189255,,0.182220116,,,99.98332977,,99.96666718,,99.98332977,,,99.90000153,,99.80000305,,90.80000305,,,,,,,
110,0.042647023,,0.073992528,,0.176119104,,,99.98332977,,99.96666718,,99.96666718,,,99.90000153,,99.69999695,,90.80000305,,,,,,,
111,0.041758675,,0.072983705,,0.171946719,,,99.98332977,,99.96666718,,99.94999695,,,99.90000153,,99.80000305,,91.19999695,,,,,,,
112,0.040761318,,,,0.16784817,,,100,,,,100,,,99.90000153,,,,90.5,,,,,,,
113,0.03987449,,,,0.163321078,,,100,,,,100,,,99.90000153,,,,90.5,,,,,,,
114,0.038939916,,,,0.159765989,,,100,,,,99.98332977,,,99.90000153,,,,91.09999847,,,,,,,
115,0.038135879,,,,0.15535444,,,99.98332977,,,,99.98332977,,,99.90000153,,,,90.90000153,,,,,,,
116,0.037363183,,,,0.151705742,,,99.98332977,,,,100,,,99.90000153,,,,91.09999847,,,,,,,
117,0.036591794,,,,0.147276714,,,100,,,,100,,,99.90000153,,,,90.80000305,,,,,,,
118,0.035861205,,,,0.144475088,,,99.98332977,,,,100,,,99.90000153,,,,91.09999847,,,,,,,
119,0.035158195,,,,0.140134767,,,99.98332977,,,,100,,,99.90000153,,,,90.69999695,,,,,,,
120,0.034466442,,,,0.135296583,,,100,,,,100,,,99.90000153,,,,90.80000305,,,,,,,
121,0.033785965,,,,0.133988008,,,100,,,,100,,,99.90000153,,,,90.40000153,,,,,,,
122,0.033114795,,,,0.129602477,,,100,,,,100,,,99.90000153,,,,90.59999847,,,,,,,
123,0.032455109,,,,0.12659803,,,100,,,,100,,,99.90000153,,,,91.09999847,,,,,,,
124,0.031890407,,,,0.122408852,,,100,,,,100,,,99.90000153,,,,91,,,,,,,
125,0.031245239,,,,0.119666211,,,100,,,,100,,,99.90000153,,,,90.80000305,,,,,,,
126,0.030677918,,,,0.116769083,,,100,,,,100,,,99.90000153,,,,91.09999847,,,,,,,
127,0.030096829,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
128,0.029556895,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
129,0.028962659,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
130,0.028558582,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
131,0.027990224,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
132,0.027561208,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
133,0.027054163,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
134,0.02656699,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
135,0.026172761,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
136,0.025707085,,,,,,,100,,,,,,,99.90000153,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,
